ciutat,pagina,zona,carrer,preu,m2,preu_m2,nHab,nBanys
girona,12,"Montilivi, Palau, Eixample Sud-Migdia",,915,96,10,3,2
girona,12,"Montilivi, Palau, La Devesa",,800,77,10,3,1
girona,12,"Montilivi, Palau, Centre-Barri Vell",,1.600,101,16,3,1
tarragona,1,Barris Marítims,,2.000,700,3,13,15
tarragona,1,Sant Pere i Sant Pau,,680,75,9,2,1
tarragona,1,Tarragona Capital,,800,120,7,3,2
tarragona,1,Nou Eixample,,1.400,125,11,4,2
tarragona,1,La Mora,,1.560,209,7,5,3
tarragona,1,La Mora,,1.550,200,8,5,4
tarragona,1,La Mora,Calle Margalló,1.600,241,7,4,2
tarragona,1,Nou Eixample,plaza josep roig reventos 19,700,65,11,2,1
tarragona,1,"Urbanitzacions de Llevant, Playa Sabinosa",Tomas Forteza i Segura 4,1.100,110,10,4,2
lleida,1,Centre Històric,,600,65,9,2,1
lleida,1,Centre Històric,,600,65,9,2,1
lleida,1,L'Horta,"Partida 90, 1º 1",700,150,5,3,2
lleida,1,Centre Històric,,600,65,9,2,1
lleida,1,Centre Històric,,750,140,5,6,1
lleida,1,"Joc de la Bola, Camp d'Esports, Ciutat Jardí","Dr. Fleming 9, 7º",650,90,7,3,1
lleida,1,"Centre Històric, PRAT DE LA RIBA - RICARDO VIÑES - SAN MARTIN",PRAT DE LA RIBA - RICARDO VIÑES - SAN MARTIN,750,140,5,6,1
lleida,1,"Centre Històric, RAMBLA FARRAN - PZA SAN JUAN",RAMBLA FARRAN - PZA SAN JUAN,600,65,9,2,1
lleida,1,"Bordeta, Joc de la Bola",,560,105,5,3,1
lleida,1,Cappont,"Bruc 5, 3º",480,70,7,2,1
lleida,1,Pardinyes,,400,82,5,3,2
lleida,1,"Centre Històric, Centre Històric",,480,70,7,2,1
lleida,1,"Bordeta, Clot-Príncep de Viana",,675,100,7,3,2
lleida,1,"Bordeta, Ciutat Jardí",,700,60,12,2,2
lleida,1,Cappont,,945,129,7,4,2
lleida,1,Pardinyes,,430,60,7,1,1
lleida,1,Mariola,,740,86,9,3,1
lleida,1,"Bordeta, Clot-Príncep de Viana",,550,113,5,3,2
lleida,1,Cappont,,920,110,8,3,2
lleida,1,"Centre Històric, Centre Històric",,575,85,7,3,2
lleida,2,"Bordeta, Rambla Ferran",,420,70,6,2,1
lleida,2,"Bordeta, Joc de la Bola",,600,85,7,2,1
lleida,2,"Bordeta, Clot-Príncep de Viana",,550,72,8,3,1
lleida,2,"Centre Històric, Centre Històric",,750,80,9,3,2
lleida,2,"Bordeta, Instituts-Universitat",,450,41,11,1,1
lleida,2,Mariola,,300,31,10,1,1
lleida,2,"Centre Històric, Centre Històric",,420,68,6,2,1
lleida,2,"Bordeta, Joc de la Bola",,650,60,11,1,1
lleida,2,Mariola,,600,100,6,3,2
lleida,2,"Bordeta, Clot-Príncep de Viana",,590,80,7,2,2
lleida,2,Mariola,,440,50,9,1,1
lleida,2,"Centre Històric, Centre Històric",,450,40,11,1,1
lleida,2,Pardinyes,,800,135,6,3,2
lleida,2,"Centre Històric, Centre Històric",,450,40,11,1,1
lleida,2,"Bordeta, Joc de la Bola",,590,60,10,2,1
lleida,2,"Bordeta, Instituts-Universitat",,1.000,160,6,4,2
lleida,2,"Centre Històric, Centre Històric",,600,65,9,2,1
lleida,2,"Centre Històric, Centre Històric",,600,95,6,3,1
lleida,2,Mariola,,600,90,7,3,2
lleida,2,"Bordeta, Rambla Ferran",,550,60,9,2,1
lleida,3,"Bordeta, Instituts-Universitat",,450,45,10,1,1
lleida,3,Cappont,,950,146,7,3,2
lleida,3,"Bordeta, Rambla Ferran",,430,65,7,2,1
lleida,3,"Centre Històric, Centre Històric",,450,45,10,1,1
lleida,3,"Centre Històric, Centre Històric",,450,45,10,1,1
lleida,3,"Centre Històric, Centre Històric",,450,41,11,1,1
lleida,3,"Bordeta, Balàfia",,450,90,5,3,1
lleida,3,"Centre Històric, Centre Històric",,450,50,9,1,1
lleida,3,"Bordeta, Balàfia",,550,90,6,3,1
lleida,3,"Centre Històric, Centre Històric",,600,65,9,2,2
lleida,3,"Bordeta, Clot-Príncep de Viana",,470,65,7,2,1
lleida,3,"Bordeta, Instituts-Universitat",,800,100,8,4,2
lleida,3,"Bordeta, Instituts-Universitat",,550,110,5,3,2
lleida,3,"Centre Històric, Centre Històric",,575,66,9,2,1
lleida,3,"Bordeta, Clot-Príncep de Viana",,900,130,7,4,1
lleida,3,"Bordeta, Instituts-Universitat",,550,100,6,4,1
lleida,3,"Bordeta, Instituts-Universitat",,550,65,8,,
lleida,3,Mariola,,600,85,7,3,1
lleida,3,"Bordeta, Instituts-Universitat",,600,85,7,2,1
lleida,3,"Bordeta, Balàfia",,460,70,7,2,1
lleida,4,"Bordeta, Joc de la Bola",,700,120,6,4,1
lleida,4,"Bordeta, Ciutat Jardí",,sin,650,,5,4
lleida,4,"Bordeta, Joc de la Bola",,490,45,11,1,1
lleida,4,"Bordeta, Instituts-Universitat",,600,90,7,3,2
lleida,4,"Bordeta, Instituts-Universitat",,600,75,8,3,1
lleida,4,Cappont,,600,140,4,2,1
lleida,4,"Centre Històric, Centre Històric",,600,69,9,2,1
lleida,4,"Bordeta, Rambla Ferran",,500,70,7,2,1
lleida,4,"Bordeta, Joc de la Bola",,700,90,8,4,2
lleida,4,Centre Històric,"Plaza la ereta 12, 4º 2",450,68,7,2,
lleida,4,"Bordeta, Ciutat Jardí",,2.375,533,4,5,5
lleida,4,"Bordeta, Joc de la Bola",,700,110,6,4,2
lleida,4,"Centre Històric, Centre Històric",,600,90,7,3,2
lleida,4,"Bordeta, Rambla Ferran",,550,70,8,2,1
lleida,4,"Centre Històric, Centre Històric",,500,45,11,1,1
lleida,4,"Bordeta, Clot-Príncep de Viana",,650,130,5,4,2
lleida,4,"Centre Històric, Centre Històric",,600,80,8,3,1
lleida,4,"Bordeta, Joc de la Bola",,750,120,6,4,2
lleida,4,"Centre Històric, Centre Històric",,600,65,9,2,1
lleida,4,Cappont,,800,99,8,3,2
lleida,5,"Centre Històric, Centre Històric",,600,65,9,2,1
lleida,5,"Bordeta, Clot-Príncep de Viana",,600,85,7,3,1
lleida,5,Cappont,,530,70,8,2,1
lleida,5,"Centre Històric, Centre Històric",,700,100,7,3,2
lleida,5,"Bordeta, Rambla Ferran",,550,70,8,2,1
lleida,5,"Centre Històric, Centre Històric",,465,70,7,2,1
lleida,5,Cappont,bruc 5,480,75,6,2,1
lleida,5,"Bordeta, Clot-Príncep de Viana",,950,90,11,3,2
lleida,5,"Bordeta, La Cerdera",,800,120,7,4,2
lleida,5,Mariola,,500,70,7,2,1
lleida,5,"Centre Històric, Centre Històric",,425,45,9,1,1
lleida,5,"Bordeta, Balàfia",,850,110,8,3,3
lleida,5,"Centre Històric, Centre Històric",,450,49,9,1,1
lleida,5,"Bordeta, Ciutat Jardí",,2.375,600,4,6,5
lleida,5,"Centre Històric, Centre Històric",,525,74,7,2,1
lleida,5,Pardinyes,,590,90,7,4,2
lleida,5,"Centre Històric, Centre Històric",,450,40,11,1,1
lleida,5,"Centre Històric, Centre Històric",,600,95,6,3,1
lleida,5,"Centre Històric, Centre Històric",,550,65,8,2,1
